"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","44.24","45.15","44.02","47.99","49.71","48.84","54.46","55.78","57.3","52.3","47.53","55.24","59.87","62.16","63.89","67.97","57.2","63.28","61.13","59.86","58.15","56.52","54.92","53.65","51.35","49.27","49.33","46.98","44.96","44.95","57.66","54.92","57.7","59","59.91","60.3","63.05","64.85","60.55","51.39","53.28","63.83","69.54","62.02","77.6","74.15","84.84","73.83","93.14","89.61","81.18","94.48","93","99.78","95.68","104.54","99.69","94.93","121.7","129.43","121.5","",
"Africa Western and Central","AFW","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","21.63","23.11","22.46","24.38","25.26","26.42","27.24","26.04","27.97","28.33","29.3","28.04","28.65","28.97","24.53","19.25","18.19","17.07","15.3","15.87","14.23","14.18","14.19","14.39","14.38","15.06","15.15","15.16","14.97","14.58","15.6","16.6","16.21","19.69","19.47","19.75","18.89","23.03","21.39","26.27","31.92","37.62","41.67","48.09","52.2","53.18","61.78","65.6","86.42","91.32","100.99","79.19","114.2","97.55","100.38","102.07","102.74","105.93","107.59","113.25","115.48","",
"Albania","ALB","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","22.71","24.88","24.23","28.69","26.29","31.41","31.79","33.04","33.71","34.85","35.48","37.28","40.57","41.39","42.35","47.14","49.7","50.43","51.8","48.98","50.89","53.23","59.51","54.66","54.63","55.17","55.99","48.17","56.43","50.75","36.67","40.49","47.85","47.92","48.99","48.67","50.39","53.84","49.57","51.88","53.23","52.12","54.89","58.48","58.38","61.97","61.1","70.64","75.19","82.74","87.45","93.86","93.67","95.94","99.91","104.15","105.84","106.2","107.76","114.12","114.75","",
"Andorra","AND","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","1.64","1.76","1.89","2.01","2.02","2.59","2.78","3.03","3.49","4.03","4.5","4","4.72","7.62","8.29","9.63","11.41","15.92","18.97","22.4","25.07","32.92","37.39","32.75","33.28","33.84","32.38","44.66","52.11","53.5","68.43","90.57","96.08","100.67","118.42","126.86","160.53","163.52","275.44","355.97","214.47","202.8","186.66","203.61","200.53","180.5","177.96","188.11","180.16","192.08","70.02","65.99","67.83","90.32","104.59","105.09","98.67","99.16","102.55","107.78","106.68","",
"Argentina","ARG","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","","19.67","20.07","22.29","23.7","21.28","22.62","25.52","22.02","23.34","25.22","26.36","23.96","27.07","30.21","28.93","31.25","30.8","33.22","34.6","30.7","34.3","39.66","38.53","39.91","38.22","38.39","37.47","41.03","34.63","39.17","42.33","43.05","40.82","43.9","49.53","47.39","53.54","61.79","59.79","60.94","63.97","65.16","67.65","66.51","77.51","75.49","85.66","87.2","62.18","86.71","93.47","82.1","90.59","94.16","104.14","101.7","106.81","92.17","113.13","107.36","106.63","",
